START_LEVELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_PART_NUMBER,CHANNEL,PARAMETER_TYPE,PARAMETER_TYPE_AS_TEXT,LEVEL,LEVEL_REFERENCE_TYPE,LEVEL_REFERENCE_TYPE_AS_TEXT,LEVEL_REFERENCE_LIST_NUMBER,LEVEL_REFERENCE_ID,FADE_TIME,DELAY_TIME,MARK_CUE,TRACK_TYPE,EFFECT,,,,,,,,,,,,,,,,,,,
36,Curve,,901,1C9BD8DC-F37E-4944-9192-FFCFACE95CEA,,IES Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Curve,,902,04FC2979-E1C1-4440-B41C-38D6FA860508,,Slow Bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Curve,,903,1F60283E-9C2D-4B73-B4A2-E7CFD6B0958F,,Fast Bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Curve,,904,FB22349A-DA2E-44B3-860B-29F91CB29F2A,,Fast Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Curve,,905,754DD196-2BE3-430B-9928-CCE27E53FA9E,,Full At 1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Curve,,906,05E1BE25-84B1-49BD-8238-728059665F2A,,Out At 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Curve,,907,D5A6385D-D171-4E82-835B-EDE03774FB91,,Preheat At 5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Curve,,908,5C794141-E20D-48CB-8176-4D895EEEA1B7,,Preheat At 10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Curve,,909,7B835D6C-9BB1-437E-806C-28E0E2DDE2E8,,Hot Patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Curve,,910,D6E8A55B-7AC7-4E33-B54D-0B11F436891C,,Inverted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Curve,,911,379713D4-2991-4332-9611-FCCE7D0B9A00,,Incandescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Partition,,0,00000000-0000-0000-0000-000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Partition,,901,00000000-0000-0000-0000-000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Partition,,902,00000000-0000-0000-0000-000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Partition,,903,00000000-0000-0000-0000-000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Magic_Sheet,,1,B5A1E29F-603F-42B4-987E-BD11390E5969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Magic_Sheet,,2,2891D979-40DE-40D4-93D6-2BD556C3EF14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Color_Path,,1,0485D21A-2463-4B40-A331-4CF67E52167E,,Native,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Color_Path,,2,A9CE2C94-6D39-4F60-AF5B-47198B6A83A8,,GEL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Color_Path,,3,9EABEAD1-3DCC-4C59-A6FE-262CB28B0A0C,,SAT ADJUST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Color_Path,,4,D34249B0-06AE-4A2C-A9AF-F70CBFC67A4A,,CIE XYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Color_Path,,5,A02D781B-1221-4A11-8A65-3DF17EF8589F,,RGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Color_Path,,6,6B4E64AE-5382-4A21-8DB2-0490A38A0BF3,,CMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Color_Path,,7,3D3F1D86-AF9D-4B9C-AD11-9BB4071FE75C,,HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Color_Path,,8,58D15680-443F-43CC-B0DB-77F7808127AF,,AUTO DIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_TARGETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
START_CHANNELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANNEL,FIXTURE_TYPE,MANUFACTURER,FIXTURE_DCID,SOURCE_DCID,PATCH_DCID,ADDRESS,LABEL,PROPORTION,CURVE,GEL,NOTES,TEXT1,TEXT2,TEXT3,TEXT4,TEXT5,TEXT6,TEXT7,TEXT8,TEXT9,TEXT10,LOCATION_X,LOCATION_Y,LOCATION_Z,ORIENTATION_X,ORIENTATION_Y,ORIENTATION_Z,PROCESSOR,,,,,,,,
3301,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,608CDC1E-CA36-4D26-AFAE-FB5798ED1160, 1/1<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3302,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,18342EFC-74CD-4EBB-A7CF-2408710645E2, 1/19<36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3303,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,63E85DA2-E979-4454-B859-02E921FE2ED1, 1/37<54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3304,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,DF869BA4-7F29-46B1-B84F-DAF08172E9F7, 1/55<72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,B3A4AB7D-F9FC-4CAB-87C7-CBA6FB3CDEFB, 1/73<90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3306,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,DFF256D7-A880-436E-A13C-983DA69932B4, 1/91<108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3307,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,864B35FB-F8E1-4C4D-BDD5-AD2A65730463, 1/109<126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,B81C92EB-2795-4494-8424-02424D931A20, 1/127<144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3309,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,A89E913C-878B-4976-884D-5329A95F0986, 1/145<162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3310,Sharpy_Wash_330_Standard,Clay_Paky,A3333B09-1B9A-D846-81D7-558512BFCA3F,,62AB5DC3-4AED-4759-8BD7-32797960F32B, 1/163<180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_CHANNELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
START_FIXTURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIXTURE_TYPE_NAME,FIXTURE_TYPE_MANUFACTURER,PARAMETER_TYPE,PARAMETER_TYPE_TEXT_SHORT,PARAMETER_TYPE_TEXT_LONG,PARAMETER_ADDRESS_OFFSET,PARAMETER_CATEGORY,PARAMETER_CATEGORY_AS_TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,9,Cyan,Cyan,0,3,Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,10,Magenta,Magenta,0,3,Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,11,Yellow,Yellow,0,3,Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,199,Color_Select,Color_Select,0,3,Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,204,Shutter_Strobe,Shutter_Strobe,0,5,Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,1,Intens,Intens,0,1,Intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,201,Beam_Fx_Select,Beam_Fx_Select,0,4,Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,234,Beam_Fx_Index/Speed,Beam_Fx_Index/Speed,0,4,Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,76,Diffusion,Diffusion,0,5,Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,57674,Light_Diffusion,Light_Diffusion,0,5,Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,79,Zoom,Zoom,0,5,Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,2,Pan,Pan,0,2,Focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,3,Tilt,Tilt,0,2,Focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,1875,Position_Optimisation_Mode,Position_Optimisation_Mode,0,7,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,131,Fixture_Global_Reset,Fixture_Global_Reset,0,7,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,205,Color_Wheel_Mode,Color_Wheel_Mode,0,3,Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,21,Strobe_Mode,Strobe_Mode,0,5,Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,323,Beam_Fx_Mode,Beam_Fx_Mode,0,4,Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,7,Hue,Hue,0,3,Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,8,Saturation,Saturation,0,3,Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,16,Brightness,Brightness,0,3,Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,59175,X_Focus,X_Focus,0,2,Focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,59176,Y_Focus,Y_Focus,0,2,Focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpy_Wash_330_Standard,Clay_Paky,59177,Z_Focus,Z_Focus,0,2,Focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_FIXTURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
START_SHOWCONTROL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,PART_NUMBER,LABEL,TIME_ADDRESS,DATE,TRIGGER,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_SHOWCONTROL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
