START_CHANNELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANNEL,FIXTURE_TYPE,MANUFACTURER,FIXTURE_DCID,SOURCE_DCID,PATCH_DCID,ADDRESS,LABEL,PROPORTION,CURVE,GEL,NOTES,TEXT1,TEXT2,TEXT3,TEXT4,TEXT5,TEXT6,TEXT7,TEXT8,TEXT9,TEXT10,LOCATION_X,LOCATION_Y,LOCATION_Z,ORIENTATION_X,ORIENTATION_Y,ORIENTATION_Z,PROCESSOR,,,,,,,,
,Sharpy_Standard,Clay_Paky,,,,,Claypaky Sharpy #01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sharpy_Standard,Clay_Paky,,,,,Claypaky Sharpy #02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sharpy_Standard,Clay_Paky,,,,,Claypaky Sharpy #03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sharpy_Standard,Clay_Paky,,,,,Claypaky Sharpy #04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sharpy_Standard,Clay_Paky,,,,,Claypaky Sharpy #05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sharpy_Standard,Clay_Paky,,,,,Claypaky Sharpy #06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sharpy_Standard,Clay_Paky,,,,,Claypaky Sharpy #07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sharpy_Standard,Clay_Paky,,,,,Claypaky Sharpy #08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sharpy_Standard,Clay_Paky,,,,,Claypaky Sharpy #09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sharpy_Standard,Clay_Paky,,,,,Claypaky Sharpy #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HY_B-Eye_K15_Standard,Clay_Paky,,,,,Claypaky HY B-Eye K15 #01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HY_B-Eye_K15_Standard,Clay_Paky,,,,,Claypaky HY B-Eye K15 #02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HY_B-Eye_K15_Standard,Clay_Paky,,,,,Claypaky HY B-Eye K15 #03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HY_B-Eye_K15_Standard,Clay_Paky,,,,,Claypaky HY B-Eye K15 #04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HY_B-Eye_K15_Standard,Clay_Paky,,,,,Claypaky HY B-Eye K15 #05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HY_B-Eye_K15_Standard,Clay_Paky,,,,,Claypaky HY B-Eye K15 #06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HY_B-Eye_K15_Standard,Clay_Paky,,,,,Claypaky HY B-Eye K15 #07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HY_B-Eye_K15_Standard,Clay_Paky,,,,,Claypaky HY B-Eye K15 #08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HY_B-Eye_K15_Standard,Clay_Paky,,,,,Claypaky HY B-Eye K15 #09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HY_B-Eye_K15_Standard,Clay_Paky,,,,,Claypaky HY B-Eye K15 #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arolla_Aqua_LT_Standard,Clay_Paky,,,,,Claypaky Arolla Aqua LT IP66 #01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arolla_Aqua_LT_Standard,Clay_Paky,,,,,Claypaky Arolla Aqua LT IP66 #02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arolla_Aqua_LT_Standard,Clay_Paky,,,,,Claypaky Arolla Aqua LT IP66 #03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arolla_Aqua_LT_Standard,Clay_Paky,,,,,Claypaky Arolla Aqua LT IP66 #04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arolla_Aqua_LT_Standard,Clay_Paky,,,,,Claypaky Arolla Aqua LT IP66 #05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arolla_Aqua_LT_Standard,Clay_Paky,,,,,Claypaky Arolla Aqua LT IP66 #06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arolla_Aqua_LT_Standard,Clay_Paky,,,,,Claypaky Arolla Aqua LT IP66 #07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arolla_Aqua_LT_Standard,Clay_Paky,,,,,Claypaky Arolla Aqua LT IP66 #08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arolla_Aqua_LT_Standard,Clay_Paky,,,,,Claypaky Arolla Aqua LT IP66 #09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arolla_Aqua_LT_Standard,Clay_Paky,,,,,Claypaky Arolla Aqua LT IP66 #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sinfonya_Profile_Standard,Clay_Paky,,,,,Claypaky Sinfonya Profile #01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sinfonya_Profile_Standard,Clay_Paky,,,,,Claypaky Sinfonya Profile #02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sinfonya_Profile_Standard,Clay_Paky,,,,,Claypaky Sinfonya Profile #03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sinfonya_Profile_Standard,Clay_Paky,,,,,Claypaky Sinfonya Profile #04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sinfonya_Profile_Standard,Clay_Paky,,,,,Claypaky Sinfonya Profile #05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sinfonya_Profile_Standard,Clay_Paky,,,,,Claypaky Sinfonya Profile #06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sinfonya_Profile_Standard,Clay_Paky,,,,,Claypaky Sinfonya Profile #07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sinfonya_Profile_Standard,Clay_Paky,,,,,Claypaky Sinfonya Profile #08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sinfonya_Profile_Standard,Clay_Paky,,,,,Claypaky Sinfonya Profile #09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sinfonya_Profile_Standard,Clay_Paky,,,,,Claypaky Sinfonya Profile #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL3600_Profile_IP_Standard,Vari*Lite,,,,,Vari-Lite VL3600 Profile IP #01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL3600_Profile_IP_Standard,Vari*Lite,,,,,Vari-Lite VL3600 Profile IP #02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL3600_Profile_IP_Standard,Vari*Lite,,,,,Vari-Lite VL3600 Profile IP #03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL3600_Profile_IP_Standard,Vari*Lite,,,,,Vari-Lite VL3600 Profile IP #04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL3600_Profile_IP_Standard,Vari*Lite,,,,,Vari-Lite VL3600 Profile IP #05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL3600_Profile_IP_Standard,Vari*Lite,,,,,Vari-Lite VL3600 Profile IP #06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL3600_Profile_IP_Standard,Vari*Lite,,,,,Vari-Lite VL3600 Profile IP #07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL3600_Profile_IP_Standard,Vari*Lite,,,,,Vari-Lite VL3600 Profile IP #08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL3600_Profile_IP_Standard,Vari*Lite,,,,,Vari-Lite VL3600 Profile IP #09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL3600_Profile_IP_Standard,Vari*Lite,,,,,Vari-Lite VL3600 Profile IP #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL1600_Profile_Standard,Vari*Lite,,,,,Vari-Lite VL1600 Profile #01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL1600_Profile_Standard,Vari*Lite,,,,,Vari-Lite VL1600 Profile #02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL1600_Profile_Standard,Vari*Lite,,,,,Vari-Lite VL1600 Profile #03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL1600_Profile_Standard,Vari*Lite,,,,,Vari-Lite VL1600 Profile #04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL1600_Profile_Standard,Vari*Lite,,,,,Vari-Lite VL1600 Profile #05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL1600_Profile_Standard,Vari*Lite,,,,,Vari-Lite VL1600 Profile #06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL1600_Profile_Standard,Vari*Lite,,,,,Vari-Lite VL1600 Profile #07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL1600_Profile_Standard,Vari*Lite,,,,,Vari-Lite VL1600 Profile #08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL1600_Profile_Standard,Vari*Lite,,,,,Vari-Lite VL1600 Profile #09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VL1600_Profile_Standard,Vari*Lite,,,,,Vari-Lite VL1600 Profile #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaPointe_Standard,Robe,,,,,Robe MegaPointe #01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaPointe_Standard,Robe,,,,,Robe MegaPointe #02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaPointe_Standard,Robe,,,,,Robe MegaPointe #03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaPointe_Standard,Robe,,,,,Robe MegaPointe #04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaPointe_Standard,Robe,,,,,Robe MegaPointe #05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaPointe_Standard,Robe,,,,,Robe MegaPointe #06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaPointe_Standard,Robe,,,,,Robe MegaPointe #07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaPointe_Standard,Robe,,,,,Robe MegaPointe #08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaPointe_Standard,Robe,,,,,Robe MegaPointe #09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaPointe_Standard,Robe,,,,,Robe MegaPointe #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spiider_Standard,Robe,,,,,Robe Spiider #01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spiider_Standard,Robe,,,,,Robe Spiider #02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spiider_Standard,Robe,,,,,Robe Spiider #03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spiider_Standard,Robe,,,,,Robe Spiider #04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spiider_Standard,Robe,,,,,Robe Spiider #05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spiider_Standard,Robe,,,,,Robe Spiider #06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spiider_Standard,Robe,,,,,Robe Spiider #07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spiider_Standard,Robe,,,,,Robe Spiider #08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spiider_Standard,Robe,,,,,Robe Spiider #09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spiider_Standard,Robe,,,,,Robe Spiider #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Maximus_Standard,Elation,,,,,Elation Proteus Maximus IP65 #01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Maximus_Standard,Elation,,,,,Elation Proteus Maximus IP65 #02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Maximus_Standard,Elation,,,,,Elation Proteus Maximus IP65 #03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Maximus_Standard,Elation,,,,,Elation Proteus Maximus IP65 #04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Maximus_Standard,Elation,,,,,Elation Proteus Maximus IP65 #05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Maximus_Standard,Elation,,,,,Elation Proteus Maximus IP65 #06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Maximus_Standard,Elation,,,,,Elation Proteus Maximus IP65 #07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Maximus_Standard,Elation,,,,,Elation Proteus Maximus IP65 #08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Maximus_Standard,Elation,,,,,Elation Proteus Maximus IP65 #09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Maximus_Standard,Elation,,,,,Elation Proteus Maximus IP65 #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Hybrid_Standard,Elation,,,,,Elation Proteus Hybrid IP65 #01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Hybrid_Standard,Elation,,,,,Elation Proteus Hybrid IP65 #02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Hybrid_Standard,Elation,,,,,Elation Proteus Hybrid IP65 #03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Hybrid_Standard,Elation,,,,,Elation Proteus Hybrid IP65 #04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Hybrid_Standard,Elation,,,,,Elation Proteus Hybrid IP65 #05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Hybrid_Standard,Elation,,,,,Elation Proteus Hybrid IP65 #06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Hybrid_Standard,Elation,,,,,Elation Proteus Hybrid IP65 #07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Hybrid_Standard,Elation,,,,,Elation Proteus Hybrid IP65 #08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Hybrid_Standard,Elation,,,,,Elation Proteus Hybrid IP65 #09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proteus_Hybrid_Standard,Elation,,,,,Elation Proteus Hybrid IP65 #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ColorSource_Spot_V_Direct,ETC,,,,,ETC ColorSource Spot V #01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ColorSource_Spot_V_Direct,ETC,,,,,ETC ColorSource Spot V #02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ColorSource_Spot_V_Direct,ETC,,,,,ETC ColorSource Spot V #03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ColorSource_Spot_V_Direct,ETC,,,,,ETC ColorSource Spot V #04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ColorSource_Spot_V_Direct,ETC,,,,,ETC ColorSource Spot V #05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ColorSource_Spot_V_Direct,ETC,,,,,ETC ColorSource Spot V #06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ColorSource_Spot_V_Direct,ETC,,,,,ETC ColorSource Spot V #07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ColorSource_Spot_V_Direct,ETC,,,,,ETC ColorSource Spot V #08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ColorSource_Spot_V_Direct,ETC,,,,,ETC ColorSource Spot V #09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ColorSource_Spot_V_Direct,ETC,,,,,ETC ColorSource Spot V #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source_Four_LED_Series_3_Lustr_X8,ETC,,,,,ETC Source Four LED Series 3 #01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source_Four_LED_Series_3_Lustr_X8,ETC,,,,,ETC Source Four LED Series 3 #02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source_Four_LED_Series_3_Lustr_X8,ETC,,,,,ETC Source Four LED Series 3 #03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source_Four_LED_Series_3_Lustr_X8,ETC,,,,,ETC Source Four LED Series 3 #04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source_Four_LED_Series_3_Lustr_X8,ETC,,,,,ETC Source Four LED Series 3 #05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source_Four_LED_Series_3_Lustr_X8,ETC,,,,,ETC Source Four LED Series 3 #06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source_Four_LED_Series_3_Lustr_X8,ETC,,,,,ETC Source Four LED Series 3 #07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source_Four_LED_Series_3_Lustr_X8,ETC,,,,,ETC Source Four LED Series 3 #08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source_Four_LED_Series_3_Lustr_X8,ETC,,,,,ETC Source Four LED Series 3 #09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source_Four_LED_Series_3_Lustr_X8,ETC,,,,,ETC Source Four LED Series 3 #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_CHANNELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
